"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","acronym","taxa"
"Agropyron caninum P.B.","Synonym","Poaceae","Elymus","","caninus","","","(L.) L.","Accepted","ELYCAN","Elymus  caninus  "
"Agropyron desertorum (Fisch. ex Link) Schult.","Accepted","Poaceae","Agropyron","","desertorum","","","(Fisch. ex Link) Schult.","Accepted","AGRDES","Agropyron  desertorum  "
"Agropyron cristatum L. Gaertn.","Accepted","Poaceae","Agropyron","","cristatum","","","(L.) Gaertn.","Accepted","AGRCRI","Agropyron  cristatum  "
"Agropyron intermedium","Synonym","Poaceae","Elymus","","hispidus","","","(Opiz) Melderis","Accepted","ELYHIS","Elymus  hispidus  "
"Agrostis canina L.","Accepted","Poaceae","Agrostis","","canina","","","L.","Accepted","AGRCAN","Agrostis  canina  "
"Agrostis capillaris L.","Accepted","Poaceae","Agrostis","","capillaris","","","L.","Accepted","AGRCAP","Agrostis  capillaris  "
"Agrostis gigantea Roth.","Accepted","Poaceae","Agrostis","","gigantea","","","Roth","Accepted","AGRGIG","Agrostis  gigantea  "
"Agrostis mertensii","Accepted","Poaceae","Agrostis","","mertensii","","","Trin.","Accepted","AGRMER","Agrostis  mertensii  "
"Agrostis stolonifera L","Accepted","Poaceae","Agrostis","","stolonifera","","","L.","Accepted","AGRSTO","Agrostis  stolonifera  "
"Agrostis tenuis Sibth.","Synonym","Poaceae","Agrostis","","capillaris","","","L.","Accepted","AGRCAP","Agrostis  capillaris  "
"Agrostis vinealis Schreb.","Accepted","Poaceae","Agrostis","","vinealis","","","Schreb.","Accepted","AGRVIN","Agrostis  vinealis  "
"Alopecurus aequalis Sobol.","Accepted","Poaceae","Alopecurus","","aequalis","","","Sobol.","Accepted","ALOAEQ","Alopecurus  aequalis  "
"Alopecurus arundinaceus Poir.","Accepted","Poaceae","Alopecurus","","arundinaceus","","","Poir.","Accepted","ALOARU","Alopecurus  arundinaceus  "
"Alopecurus myosuroides Huds.","Accepted","Poaceae","Alopecurus","","myosuroides","","","Huds.","Accepted","ALOMYO","Alopecurus  myosuroides  "
"Alopecurus geniculatus L.","Accepted","Poaceae","Alopecurus","","geniculatus","","","L.","Accepted","ALOGEN","Alopecurus  geniculatus  "
"Alopecurus pratensis L","Accepted","Poaceae","Alopecurus","","pratensis","","","L.","Accepted","ALOPRA","Alopecurus  pratensis  "
"Anthoxanthum oduratum L.","Accepted","Poaceae","Anthoxanthum","","odoratum","","","L.","Accepted","ANTODO","Anthoxanthum  odoratum  "
"Arrhenatherum avenaceum Beauv.","Synonym","Poaceae","Arrhenatherum","","elatius","","","(L.) P.Beauv. ex J.Presl & C.Presl.","Accepted","ARRELA","Arrhenatherum  elatius  "
"Avenula pratesis (L.) Dumort","Synonym","Poaceae","Helictotrichon","","pratense","","","(L.) Pilg.","Accepted","HELPRA","Helictotrichon  pratense  "
"Avenula pubescens (Huds) Dumort.","Synonym","Poaceae","Helictotrichon","","pubescens","","","(Huds.) Schult. & Schult.f.","Accepted","HELPUB","Helictotrichon  pubescens  "
"Bromus erectus Huds.","Accepted","Poaceae","Bromus","","erectus","","","Huds.","Accepted","BROERE","Bromus  erectus  "
"Bromus hordeaceus L.","Accepted","Poaceae","Bromus","","hordeaceus","","","L.","Accepted","BROHOR","Bromus  hordeaceus  "
"Bromus inermis Leyss.","Accepted","Poaceae","Bromus","","inermis","","","Leyss.","Accepted","BROINE","Bromus  inermis  "
"Cynosurus cristatus L","Accepted","Poaceae","Cynosurus","","cristatus","","","L.","Accepted","CYNCRI","Cynosurus  cristatus  "
